,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
0,A,2017-05-01,55.5,55.99,55.36,55.8,1897018.0,0.0,1.0,55.263235451,55.7511450974,55.1238326949,55.5619556427,1897018.0
1,A,2017-05-02,55.85,55.97,55.51,55.93,1673735.0,0.0,1.0,55.6117423413,55.7312304179,55.2731927908,55.691401059,1673735.0
2,A,2017-05-03,55.68,56.2575,55.61,56.16,1702565.0,0.0,1.0,55.442467566,56.0175039349,55.372766188,55.9204198726,1702565.0
3,A,2017-05-04,56.2,56.75,56.16,56.7,2609703.0,0.0,1.0,55.9602492315,56.5079029161,55.9204198726,56.4581162175,2609703.0
4,A,2017-05-05,56.85,56.96,56.59,56.64,1567046.0,0.0,1.0,56.6074763134,56.7170070503,56.3485854806,56.3983721792,1567046.0
5,A,2017-05-08,56.65,56.82,55.93,56.32,2189980.0,0.0,1.0,56.4083295189,56.5776042942,55.691401059,56.0797373081,2189980.0
6,A,2017-05-09,56.42,56.89,56.29,56.87,1559192.0,0.0,1.0,56.1793107054,56.6473056722,56.049865289,56.6273909928,1559192.0
7,A,2017-05-10,56.85,56.94,56.08,56.27,1566289.0,0.0,1.0,56.6074763134,56.6970923708,55.8407611548,56.0299506095,1566289.0
8,A,2017-05-11,56.13,56.38,55.8,56.23,1335785.0,0.0,1.0,55.8905478535,56.1394813465,55.5619556427,55.9901212507,1335785.0
9,A,2017-05-12,56.16,56.4,55.96,56.16,1567000.0,0.0,1.0,55.9204198726,56.1593960259,55.7212730782,55.9204198726,1567000.0
10,A,2017-05-15,56.07,56.76,56.01,56.7,1472226.0,0.0,1.0,55.8308038151,56.5178602559,55.7710597768,56.4581162175,1472226.0
11,A,2017-05-16,58.38,58.38,56.45,56.83,1031699.0,0.0,1.0,58.1309492907,58.1309492907,56.2091827245,56.5875616339,1031699.0
12,A,2017-05-17,56.31,56.37,55.67,55.77,1829744.0,0.0,1.0,56.0697799684,56.1295240068,55.4325102263,55.5320836235,1829744.0
13,A,2017-05-18,55.9,56.27,55.6,55.85,1933884.0,0.0,1.0,55.6615290399,56.0299506095,55.3628088482,55.6117423413,1933884.0
14,A,2017-05-19,56.09,56.32,55.86,56.13,1652045.0,0.0,1.0,55.8507184946,56.0797373081,55.621699681,55.8905478535,1652045.0
15,A,2017-05-22,56.52,56.52,55.85,56.08,4042307.0,0.0,1.0,56.2788841026,56.2788841026,55.6117423413,55.8407611548,4042307.0
16,A,2017-05-23,59.8,59.98,58.0,58.66,7509609.0,0.0,1.0,59.544891531,59.724123646,57.7525703813,58.4097548028,7509609.0
